X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y1,Y2
25,1,53,8,5,1000,200,10.53625,3,4,3,1,126435,120435,6000,0.952544785858346,0.047455214141654,25287,3,1,2500,50574,1,194,54.3105670103093,2,1,1
25,1,53,8,5,1000,200,10.53625,3,4,3,1,126435,120435,6000,0.952544785858346,0.047455214141654,25287,3,1,2000,63.2175,1,353,29.8477337110482,5,4,3
1,0,61,8,2,1500,750,1.06666666666667,2,2,1,1,19200,9600,9600,0.5,0.5,9600,2,1,1500,12.8,1,132,12.1212121212121,5,4,3
7,0,41,12,4,9000,2250,0.833333333333333,2,3,3,0,90000,90000,0,1,0,22500,3,1,2500,36,1,220,34.0909090909091,4,4,3
5,0,51,4,3,1500,500,1,0,2,0,2,18000,0,18000,0,1,6000,2,1,1809,9.9502487562189,1,319,4.70219435736677,3,1,3
13,1,37,7,3,2500,833.333333333333,3.2,1,1,1,0,96000,96000,0,1,0,32000,2,1,2500,38.4,0,220,36.3636363636364,4,4,3
3,1,43,8,4,1550,387.5,2.49408602150538,1,4,1,3,46390,14400,31990,0.31041172666523,0.689588273334771,11597.5,4,1,2500,18556,0,220,17.5719696969697,4,2,3
28,0,24,12,3,5500,1833.33333333333,1,1,2,1,1,66000,18000,48000,0.272727272727273,0.727272727272727,22000,3,1,2500,26.4,0,265,20.7547169811321,1,4,1
24,0,37,11,4,10000,2500,3.56504166666667,2,7,7,0,427805,427805,0,1,0,106951.25,9,1,2500,171122,1,240,148.543402777778,4,4,1
24,0,37,11,4,10000,2500,3.56504166666667,2,7,7,0,427805,427805,0,1,0,106951.25,9,1,2000,213.9025,1,353,100.99268177526,3,4,1
8,1,67,2,2,3500,1750,1.90857142857143,2,5,4,1,80160,65760,14400,0.820359281437126,0.179640718562874,40080,5,1,2500,32064,0,220,30.3636363636364,4,4,3
8,1,67,2,2,3500,1750,1.90857142857143,2,5,4,1,80160,65760,14400,0.820359281437126,0.179640718562874,40080,5,1,2000,40.08,0,353,18.9235127478754,5,4,1
35,0,37,8,4,800,200,1.55625,2,2,1,1,14940,12540,2400,0.839357429718875,0.160642570281125,3735,3,1,2500,5976,1,220,5.65909090909091,4,4,3
90,1,75,5,1,1000,1000,1.10166666666667,4,2,1,1,13220,800,12420,0.060514372163389,0.939485627836611,13220,1,0,2500,5288,0,295,3.73446327683616,3,2,1
8,1,41,8,5,1000,200,4.5,2,4,3,1,54000,39000,15000,0.722222222222222,0.277777777777778,10800,4,1,2500,21.6,0,220,20.4545454545455,3,4,1
6,1,48,3,3,1100,366.666666666667,1.72727272727273,1,1,0,1,22800,0,22800,0,1,7600,1,0,2500,9.12,1,265,7.16981132075472,3,4,2
15,0,35,15,3,2500,833.333333333333,1.09336533333333,4,2,0,2,32800.96,0,32800.96,0,1,10933.6533333333,2,0,2500,13.120384,0,277,9.86791817087846,3,4,2
15,1,34,15,4,3500,875,0.839523809523809,4,4,1,3,35260,960,34300,0.027226318774816,0.972773681225184,8815,2,1,2500,14104,0,294,9.99433106575964,4,4,2
1,1,31,8,4,2000,500,1.1,1,1,1,0,26400,26400,0,1,0,6600,2,1,2500,10.56,0,220,10,4,4,1
1,1,31,8,4,2000,500,1.1,1,1,1,0,26400,26400,0,1,0,6600,2,1,2500,10.56,0,378,5.82010582010582,4,4,2
0.2,0,49,3,3,3000,1000,0.777777777777778,2,2,2,0,28000,28000,0,1,0,9333.33333333333,2,1,2500,11.2,0,220,10.6060606060606,4,4,2
0.2,0,49,3,3,3000,1000,0.777777777777778,2,2,2,0,28000,28000,0,1,0,9333.33333333333,2,1,2500,11.2,0,378,6.17283950617284,4,4,2
8,0,51,8,5,3500,700,2.61428571428571,2,4,3,1,109800,25800,84000,0.234972677595628,0.765027322404372,21960,2,1,2500,43.92,1,220,41.5909090909091,5,4,3
4,0,63,2,2,1500,750,0.533333333333333,1,2,2,0,9600,9600,0,1,0,4800,2,1,2000,4.8,1,235,3.40425531914894,5,4,3
4,0,63,2,2,1500,750,0.533333333333333,1,2,2,0,9600,9600,0,1,0,4800,2,1,1000,9.6,1,88,9.09090909090909,5,4,2
1.8,1,50,8,5,2000,400,1.75,1,3,2,1,42000,7200,34800,0.171428571428571,0.828571428571429,8400,3,1,2000,21,1,177,19.774011299435,4,4,3
6,0,57,5,5,1500,300,2.06666666666667,3,5,4,1,37200,19200,18000,0.516129032258065,0.483870967741936,7440,2,1,1130,32.9203539823009,0,100,31,5,4,3
15,1,68,5,2,600,300,5225,2,2,1,1,37620,12540,25080,0.333333333333333,0.666666666666667,18810,2,1,900,41.8,1,106,29.5754716981132,4,4,1
15,1,68,5,2,600,300,5225,2,2,1,1,37620,12540,25080,0.333333333333333,0.666666666666667,18810,2,1,1500,25.08,1,265,11.8301886792453,4,4,1
16,0,31,15,4,2500,625,0.24,3,3,2,1,7200,3600,3600,0.5,0.5,1800,2,0,2500,2.88,0,220,2.72727272727273,3,1,1
12,1,39,4,4,1900,475,1.51087719298246,1,3,1,2,34448,2880,31568,0.083604273107292,0.916395726892708,8612,2,0,1000,34448,1,176,16.3106060606061,4,3,2
12,1,39,4,4,1900,475,1.51087719298246,1,3,1,2,34448,2880,31568,0.083604273107292,0.916395726892708,8612,2,1,1000,34448,1,177,16.2184557438795,4,3,2
45,0,45,7,4,2000,500,2.1585,2,4,1,3,51804,14400,37404,0.277970813064628,0.722029186935372,12951,3,1,3333,15.5427542754275,0,588,7.34183673469388,3,3,2
45,0,45,7,4,2000,500,2.1585,2,4,1,3,51804,14400,37404,0.277970813064628,0.722029186935372,12951,3,1,1100,47.0945454545455,0,129,33.4651162790698,4,3,3
27,1,29,8,2,1500,750,2.93333333333333,2,3,1,2,52800,12000,40800,0.227272727272727,0.772727272727273,26400,2,1,1000,52.8,1,176,25,5,3,2
25,0,21,12,5,1800,360,2.39833333333333,1,4,1,3,51804,14400,37404,0.277970813064628,0.722029186935372,10360.8,3,1,1800,28.78,0,318,13.5754716981132,3,3,2
25,1,54,4,5,2000,400,0.641666666666667,1,2,2,0,15400,15400,0,1,0,3080,2,1,1300,11.8461538461538,0,229,5.60407569141194,3,4,2
50,1,63,2,2,1800,900,0.833333333333333,2,3,3,0,18000,18000,0,1,0,9000,2,0,2000,9,1,235,6.38297872340426,5,4,3
5.5,1,0,3,3,2500,833.333333333333,0.984933333333333,3,4,2,2,29548,12000,17548,0.406118857452281,0.593881142547719,9849.33333333333,2,1,2500,11.8192,1,234,10.522792022792,4,3,2
5.5,1,0,3,3,2500,833.333333333333,0.984933333333333,3,4,2,2,29548,12000,17548,0.406118857452281,0.593881142547719,9849.33333333333,2,1,2500,11.8192,0,220,11.1924242424242,4,4,2
4,1,53,5,2,1500,750,4.67777777777778,4,6,4,2,84200,19200,65000,0.228028503562945,0.771971496437055,42100,2,1,2500,33.68,0,220,31.8939393939394,4,4,2
8,0,36,3,4,1200,300,2.75,0,2,1,1,39600,19200,20400,0.484848484848485,0.515151515151515,9900,2,1,210,188.571428571429,1,37,89.1891891891892,5,3,1
24,1,56,3,3,3000,1000,1.62222222222222,4,2,2,0,58400,58400,0,1,0,19466.6666666667,3,1,2000,29.2,1,300,16.2222222222222,3,3,1
55,1,55,1,4,2000,500,2.16666666666667,3,3,2,1,52000,46000,6000,0.884615384615385,0.115384615384615,13000,4,0,2000,26,1,300,14.4444444444444,5,3,2
23,1,54,3,2,4000,2000,2.71125,6,4,3,1,130140,117600,12540,0.903642231443061,0.096357768556939,65070,2,1,2000,65.07,1,300,36.15,4,4,3
23,1,54,3,2,4000,2000,2.71125,6,4,3,1,130140,117600,12540,0.903642231443061,0.096357768556939,65070,2,1,3500,37.1828571428571,1,412.22,26.3087671631653,4,4,3
18,1,49,4,3,2300,766.666666666667,1.29347826086957,2,4,3,1,35700,14100,21600,0.394957983193277,0.605042016806723,11900,3,0,2000,17.85,0,353.33,8.41989075368636,4,2,3
80,1,50,6,1,1250,1250,1.62666666666667,2,3,1,2,24400,4000,20400,0.163934426229508,0.836065573770492,24400,1,0,2500,9.76,0,220,9.24242424242424,4,1,2
30,1,24,8,2,2000,1000,1.07333333333333,1,2,1,1,25760,20000,5760,0.77639751552795,0.22360248447205,12880,1,0,1500,17.1733333333333,1,176,12.1969696969697,5,4,3
80,1,59,2,2,800,400,4125,3,5,4,1,39600,32400,7200,0.818181818181818,0.181818181818182,19800,2,0,2500,15.84,0,220,15,3,2,1
9,0,47,3,3,4000,1333.33333333333,1.54333333333333,3,5,2,3,74080,46000,28080,0.620950323974082,0.379049676025918,24693.3333333333,4,1,2500,29632,0,295,20.9265536723164,3,4,2
9,0,40,5,3,2000,666.666666666667,2025,3,3,2,1,48600,24600,24000,0.506172839506173,0.493827160493827,16200,3,1,2000,24.3,1,176,23.0113636363636,4,4,2
10,0,55,4,2,2000,1000,1.75,6,2,2,0,42000,42000,0,1,0,21000,4,1,2500,16.8,1,250,14,2,4,3
9,0,61,11,2,2000,1000,1545,5,2,1,1,37080,12000,25080,0.323624595469256,0.676375404530744,18540,2,1,2500,14832,0,220,14.0454545454545,5,1,3
